Actor2Geo_CountryCode,Count
CR,1
EU,3
HM,4
IP,6
JU,7
KQ,9
TE,11
MQ,15
BQ,18
DQ,29
FQ,33
BV,34
WF,37
LQ,41
JN,59
JQ,100
SB,358
HQ,437
WQ,548
NF,1115
IO,1601
NT,1673
TK,1894
PF,2128
MF,2490
PC,2567
TL,2716
RN,3264
FK,3561
IM,3709
PG,4300
NE,6378
SM,6423
FO,6473
AN,6632
SV,6711
GP,7554
FG,7907
MB,8844
SC,12338
TV,13843
AV,13987
SH,15448
KT,15682
RE,15811
AQ,15955
LS,17165
FP,17573
TP,17672
VI,17861
NC,18588
AA,23519
CV,24483
KR,24697
CW,27969
PS,28435
VC,28904
VQ,28969
MH,29860
GK,30966
NS,31540
ST,31922
CN,32115
AY,32135
DO,35075
RM,39914
WI,43660
GL,51313
YI,52608
NH,53069
AC,55170
MN,55555
MC,59522
EK,59844
NR,60881
PU,62281
TN,65738
GI,66011
CJ,67302
OC,71196
BP,73175
MJ,78147
GB,83170
MP,97728
MA,103393
WS,106597
TO,107803
LT,114362
PA,123159
VT,126021
SI,127112
KV,127368
WZ,129006
MR,135647
UY,139364
BB,141951
GQ,142391
BT,144709
FM,149828
GJ,156582
BD,159119
UV,163858
BN,167669
TT,167829
IC,173474
MG,179008
MV,182583
DJ,186550
OS,186812
LU,192454
DR,197185
PP,200147
BH,200333
GV,216459
CT,218366
CS,222725
SE,243136
MD,245177
GY,250326
ER,253288
BL,257041
SG,268694
LA,274282
TX,274528
EN,291636
CF,292354
BC,294254
IV,298161
NG,301113
LG,302760
JE,302820
CG,303074
TD,305330
GA,317639
NU,322352
BY,322720
BK,324770
LO,330435
ES,332286
HO,340387
CM,341578
EC,343657
GT,351137
MZ,356695
LH,357942
CQ,362024
MI,371942
CD,378543
BX,382568
MU,387614
BF,391123
RQ,391353
PM,405356
SL,412016
OD,412038
UZ,421763
TI,429685
ML,437583
KG,445708
GG,449716
MK,458227
WA,465663
GZ,476266
MT,489718
FJ,500753
FI,502736
HK,516390
RI,553782
AO,603878
KZ,606305
PO,609860
MO,625982
CI,640508
LI,643813
TZ,644343
AL,647699
JM,648513
HA,654993
AG,679799
PE,683922
TS,684980
CY,689205
HR,696865
DA,702375
BA,707716
BO,785885
RB,786183
RW,820997
KU,822520
RO,836174
HU,843986
EZ,844938
AR,859038
ZA,860395
NO,873189
BU,918050
CB,918809
AU,955419
ET,1046656
WE,1065481
QA,1079842
NP,1099549
BM,1100701
SW,1118024
CO,1169327
VE,1196260
SN,1211385
TW,1324156
AJ,1330154
AE,1381681
AM,1389779
NL,1422335
BR,1511953
PL,1543338
SZ,1621106
JO,1637474
YM,1654942
UG,1661193
CU,1680537
BE,1715374
SO,1732879
ZI,1737388
GH,1836219
CE,1885869
NZ,1890664
SU,2079398
GR,2111995
VM,2146697
BG,2162136
TH,2174245
LY,2223389
KN,2422494
SP,2453188
LE,2586546
KE,2733900
ID,2790210
MY,2811869
KS,2855213
EI,2906520
UP,2937234
MX,3057305
IT,3518540
SA,3573703
EG,4723300
RP,4856562
JA,4944537
SF,5027643
GM,5635447
TU,6071251
AF,6116890
IZ,6947492
FR,7470313
SY,7955722
IR,8187856
CA,8263101
NI,8314345
AS,8648154
PK,9581618
IN,12236548
IS,12509809
CH,12757343
RS,13733991
UK,17338741
US,116256027
,162596426
