FIPS,ISO
AF,AFG
AX,
AL,ALB
AG,DZA
AQ,ASM
AN,AND
AO,AGO
AV,AIA
AY,ATA
AC,ATG
AR,ARG
AM,ARM
AA,ABW
AT,
AS,AUS
AU,AUT
AJ,AZE
BF,BHS
BA,BHR
FQ,
BG,BGD
BB,BRB
BS,
BO,BLR
BE,BEL
BH,BLZ
BN,BEN
BD,BMU
BT,BTN
BL,BOL
BK,BIH
BC,BWA
BV,BVT
BR,BRA
IO,IOT
VI,
BX,BRN
BU,BGR
UV,BFA
BY,BDI
CB,KHM
CM,CMR
CA,CAN
CV,CPV
CJ,CYM
CT,CAF
CD,TCD
CI,CHL
CH,CHN
KT,CXR
IP,
CK,CCK
CO,COL
CN,COM
CF,COG
CW,COK
CR,
CS,CRI
IV,CIV
HR,HRV
CU,CUB
CY,CYP
EZ,CZE
LO,SVK
CG,COD
DA,DNK
DX,
DJ,DJI
DO,DMA
DR,DOM
TT,TLS
EC,ECU
EG,EGY
ES,SLV
GV,GIN
EK,GNQ
ER,ERI
EN,EST
ET,ETH
PJ,
EU,
FK,FLK
FO,FRO
FJ,FJI
FI,FIN
FR,FRA
FG,GUF
FP,PYF
FS,ATF
GB,GAB
GA,GMB
GZ,
GG,GEO
GM,DEU
GH,GHA
GI,GIB
GO,
GR,GRC
GL,GRL
GJ,GRD
GP,GLP
GQ,GUM
GT,GTM
GK,GGY
PU,GNB
GY,GUY
HA,HTI
HM,HMD
HO,HND
HK,HKG
HQ,
HU,HUN
IC,ISL
IN,IND
ID,IDN
IR,IRN
IZ,IRQ
EI,IRL
IM,IMN
IS,ISR
IT,ITA
JM,JAM
JN,SJM
JA,JPN
DQ,
JE,JEY
JQ,
JO,JOR
JU,
KZ,KAZ
KE,KEN
KQ,
KR,KIR
KV,XKX
KU,KWT
KG,KGZ
LA,LAO
LG,LVA
LE,LBN
LT,LSO
LI,LBR
LY,LBY
LS,LIE
LH,LTU
LU,LUX
MC,MAC
MK,MKD
MA,MDG
MI,MWI
MY,MYS
MV,MDV
ML,MLI
MT,MLT
RM,MHL
MB,MTQ
MR,MRT
MP,MUS
MF,MYT
MX,MEX
FM,FSM
MQ,
MD,MDA
MN,MCO
MG,MNG
MJ,MNE
MH,MSR
MO,MAR
MZ,MOZ
BM,MMR
WA,NAM
NR,NRU
BQ,
NP,NPL
NL,NLD
NT,
NC,NCL
NZ,NZL
NU,NIC
NG,NER
NI,NGA
NE,NIU
NM,
NF,NFK
KN,PRK
CQ,MNP
NO,NOR
OS,
MU,OMN
PK,PAK
PS,PLW
LQ,
PM,PAN
PP,PNG
PF,
PA,PRY
PE,PER
RP,PHL
PC,PCN
PL,POL
PO,PRT
RQ,PRI
QA,QAT
RE,REU
RO,ROU
RS,RUS
RW,RWA
SH,SHN
SC,KNA
ST,LCA
RN,MAF
SB,SPM
VC,VCT
TB,BLM
WS,WSM
SM,SMR
TP,STP
SA,SAU
SG,SEN
RI,SRB
SE,SYC
SL,SLE
SN,SGP
SI,SVN
BP,SLB
SO,SOM
SF,ZAF
SX,SGS
KS,KOR
OD,SSD
SP,ESP
PG,
CE,LKA
SU,SDN
NS,SUR
SV,SJM
WZ,CHE
SW,SWE
SZ,CHE
SY,SYR
TW,TWN
TI,TJK
TZ,TZA
TH,THA
TO,TGO
TL,TKL
TN,TON
TD,TTO
TE,
TS,TUN
TU,TUR
TX,TKM
TK,TCA
TV,TUV
UG,UGA
UP,UKR
UF,
UU,
AE,ARE
UK,GBR
US,USA
UY,URY
UZ,UZB
NH,VUT
VT,
VE,VEN
VM,VNM
VQ,VIR
WQ,
WF,WLF
WE,PSE
WI,ESH
YM,YEM
ZA,ZMB
ZI,ZWE
